Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip 
PLANET FITNESS CENTER,Health Spa - 839,Exchange Goods/Contract Cancelled - E01,12/15/2014,02/09/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,26,FOX RUN RD,,NEWINGTON,NH,03801,11421
"STAR AUTO SALES OF BAYSIDE, INC.",Secondhand Dealer Auto - 005,Misrepresentation - M01,10/26/2015,11/25/2015,Bill Reduced - BLR,Yes,1344.00,19001,NORTHERN BLVD,,FLUSHING,NY,11358,11367
,Garage - 049,Misrepresentation - M01,01/22/2015,04/14/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,10075
JUNCTION WIRELESS OF NY INC,Electronic Store - 001,Misrepresentation - M01,07/09/2015,07/22/2015,Goods Exchanged - GEX,Yes,400.00,2147,NOSTRAND AVE,,BROOKLYN,NY,11210,10553
JOCELYN'S BRIDAL & FLOWER SHOP,Misc Non-Food Retail - 817,Misrepresentation - M01,02/11/2016,03/14/2016,Cash Amount - AMT,Yes,60.00,9305,37TH AVE,,JACKSON HEIGHTS,NY,11372,
COSMOS QUEENS LTD,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/19/2015,09/09/2015,Goods Exchanged - GEX,Yes,203.00,15024,NORTHERN BLVD,,FLUSHING,NY,11354,11354
WANDA TRAVEL INC.,Sightseeing Bus - 078,Surcharge/Overcharge - S02,02/05/2016,02/26/2016,Advised to Sue - ATS,No,0.00,103,CANAL ST,,NEW YORK,NY,10002,11205
TOP NOTCH BUILDING CONSTRUCTORS,Home Improvement Contractor - 100,,06/11/2015,07/28/2015,Advised to Sue - ATS,No,0.00,14219,120TH AVE,,JAMAICA,NY,11436,
ACTION MECHANICAL INC.,Misc Non-Food Retail - 817,Non-Delivery of Service - N02,02/25/2016,03/14/2016,Advised to Sue - ATS,No,0.00,3518,37TH ST,,LONG ISLAND CITY,NY,11101,11237
"MIDLAND CREDIT MANAGEMENT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,01/29/2015,02/17/2015,Cash Amount - AMT,Yes,725.00,3111,CAMINO DEL RIO N,1300,SAN DIEGO,CA,92108,10035
"ALL ABOUT AUTOMOTIVE II, INC.",Tow Truck Company - 124,Billing Dispute - B02,09/01/2015,10/20/2015,Cash Amount - AMT,Yes,68.00,319,DEVOE ST,,BROOKLYN,NY,11211,10954
SV CONTRACTORS INC,Home Improvement Contractor - 100,Quality of Work - Q01,05/21/2015,06/11/2015,Goods Repaired - GRS,Yes,0.00,1240,Clintonville St,Lowr LEVEL,Whitestone,NY,11357,11354
THE HOOD MALL LLC,Electronic Store - 001,Misrepresentation - M01,08/27/2015,09/01/2015,Goods Exchanged - GEX,Yes,120.00,126,E 183RD ST,,BRONX,NY,10453,10468
"CERTIFIED TOWING, INC",Tow Truck Company - 124,Surcharge/Overcharge - S02,10/06/2015,11/24/2015,Referred to Outside - RTO,NA,0.00,2917,ARTHUR KILL RD,,STATEN ISLAND,NY,10309,10312
JOMASHOP,Jewelry Store-Retail - 823,Misrepresentation - M01,11/23/2015,12/08/2015,Unable to Locate Business - ULV,NA,0.00,140,58TH ST,3B,BROOKLYN,NY,11220,07746
KARL'S PLUMBING,Misc Non-Food Retail - 817,Billing Dispute - B02,03/26/2015,04/27/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,9722,METROPOLITAN AVE,,FOREST HILLS,NY,11375,11367
"ANDERSON, RICHARD",Home Improvement Contractor - 100,Quality of Work - Q01,12/13/2014,02/19/2015,Referred to Hearing - RTH,No,0.00,686,W 204TH ST,APT 1C,NEW YORK,NY,10034,10025
RAYMOUR & FLANIGAN FURNITURE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,01/06/2016,02/19/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,7248,MORGAN RD,,LIVERPOOL,NY,13090,10473
P. C. RICHARD & SON LONG ISLAND CORPORATION,Electronic Store - 001,Defective Goods - D02,06/11/2015,06/22/2015,Goods Repaired - GRS,Yes,293.00,150,PRICE PKWY,,FARMINGDALE,NY,11735,11212
MODA DIAMONDS INC.,Jewelry Store-Retail - 823,Misrepresentation - M01,03/19/2015,04/24/2015,Store Credit - SCR,Yes,500.00,76,W 47TH ST,400,NEW YORK,NY,10036,13088
LEMAR PARKING CORP.,Garage - 049,Non-Delivery of Goods - N01,03/09/2016,03/18/2016,Referred to Outside - RTO,NA,0.00,519,W 161ST ST,,NEW YORK,NY,10032,10032
ASAP TOWING INC.,Tow Truck Company - 124,Misrepresentation - M01,11/25/2014,01/15/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,68.00,5609,56TH TER,,MASPETH,NY,11378,11104
MIDTOWN TOWING INC.,Tow Truck Company - 124,Contact Sign Not Posted,07/15/2015,08/18/2015,Cash Amount - AMT,Yes,100.00,1059,1ST AVE,APT 3B,NEW YORK,NY,10022,10023
PLANET AUTOMOTIVE INC.,Secondhand Dealer Auto - 005,,12/05/2014,02/24/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,3715,NORTHERN BLVD,,LONG IS CITY,NY,11101,07058
CYCLONE CITY INC.,Tow Truck Company - 124,,03/27/2015,05/11/2015,Complaint Invalid - CIN,NA,0.00,2725,W 16TH ST,,BROOKLYN,NY,11224,11951
JUAN LEMA CONSTRUCTION CORP.,Home Improvement Contractor - 100,Quality of Work - Q01,08/10/2015,11/09/2015,Referred to Hearing - RTH,No,0.00,10762,166TH ST,,JAMAICA,NY,11433,11385
MR Z TOWING INC,Tow Truck Driver - 125,Unauthorized tow,09/23/2015,11/25/2015,Cash Amount - AMT,Yes,136.00,3170,COLLEGE POINT BLVD,,FLUSHING,NY,11354,11356
GOODWILL INDUSTRIES,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,11/10/2015,12/14/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,2196,5TH AVE,,NEW YORK,NY,10037,10459
QUIK PARK WILSON LLC,Garage - 049,Misrepresentation - M01,06/19/2015,07/15/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,51.00,247,W 37TH ST,,NEW YORK,NY,10018,10024
HOME CARE WATERPROOFING CORP.,Misc Non-Food Retail - 817,Breach of Contract - B03,01/15/2015,03/23/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,2855,CROPSEY AVE,3R,BROOKLYN,NY,11214,11218
SOBTAX NY INC,Tax Preparers - 891,Outstanding Judgment - J01,01/04/2016,02/10/2016,Referred to Outside - RTO,NA,0.00,882,GERARD AVE,,BRONX,NY,10452,02119
UPTOWN PARKING LLC,Garage - 049,Surcharge/Overcharge - S02,05/27/2015,06/03/2015,Cash Amount - AMT,Yes,20.00,205,E 38TH ST,,NEW YORK,NY,10016,11377
MATIN CORPORATION,Electronic Store - 001,Surcharge/Overcharge - S02,05/13/2015,05/13/2015,Cash Amount - AMT,Yes,3138.00,1550,BROADWAY,,NEW YORK,NY,10036,
CENTURY STONE,Home Improvement Contractor - 100,Breach of Contract - B03,03/01/2016,04/19/2016,Advised to Sue - ATS,No,0.00,1110,SOUTH AVE,,STATEN ISLAND,NY,10314,10003
"KNIGHTS COLLISION EXPERTS, INC.",Tow Truck Company - 124,Misrepresentation - M01,03/09/2016,03/28/2016,Advised to Sue - ATS,No,0.00,120,UNION AVE,,BROOKLYN,NY,11206,07054
WHIRLWIND DEVELOPERS,Home Improvement Contractor - 100,Breach of Contract - B03,03/13/2015,05/05/2015,No Satisfactory Agreement - NSA,No,0.00,210,DELAWARE TRL,,JACKSON,NJ,08527,11226
,Tow Truck Company - 124,Surcharge/Overcharge - S02,02/06/2015,04/23/2015,Cash Amount - AMT,Yes,78.00,,,,,,,10471
"SECURITY CREDIT SYSTEMS, INC.",Debt Collection Agency - 122,Billing Dispute - B02,02/11/2015,03/30/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,622,MAIN ST,STE 301,BUFFALO,NY,14202,11223
LOUIS VUITTON NORTH AMERICA,Retail Store - 820,Defective Goods - D02,04/21/2015,05/06/2015,Advised to Sue - ATS,No,0.00,1,MONTGOMERY ST,400,SAN FRANCISCO,CA,94104,11234
QUIK PARK WEST 12TH ST. LLC,Garage - 049,Surcharge/Overcharge - S02,04/12/2016,04/19/2016,Bill Reduced - BLR,Yes,48.00,247,W 37TH ST,# 6/FL,NEW YORK,NY,10018,10025
KID DY-NO-MITE OF BENSONHURST CORP.,Furniture Sales - 242,Non-Delivery of Goods - N01,06/24/2015,07/28/2015,Unable to Locate Business - ULV,NA,0.00,3914,13TH AVE,,BROOKLYN,NY,11218,11219
"PLAZA OLDSMOBILE, LTD.",Other,Surcharge/Overcharge - S02,10/06/2015,10/28/2015,Referred to Outside - RTO,NA,0.00,2733,NOSTRAND AVE,,BROOKLYN,NY,11210,11427
DYNAMIC RECOVERY SOLUTIONS LLC,Debt Collection Agency - 122,Billing Dispute - B02,12/15/2015,01/19/2016,Bill Reduced - BLR,Yes,710.00,PO BOX,25759,,GREENVILLE,SC,29616,10461
,Debt Collection Agency - 122,Billing Dispute - B02,03/03/2015,04/14/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,11231
3BS REMODELING INC,Home Improvement Contractor - 100,Quality of Work - Q01,06/16/2015,08/13/2015,Consumer Took Action - CTA,No,0.00,116,WOOD LN,,VALLEY STREAM,NY,11581,11429
KELLY DRY CLEANERS,Dry Cleaners - 230,,07/29/2015,08/24/2015,Cash Amount - AMT,Yes,183.00,430,3RD AVE,,NEW YORK,NY,10016,
PEAK INDUSTRIES & SERVICES,Employment Agency - 034,Refund Policy - R01,08/20/2015,10/14/2015,Unable to Locate Business - ULV,NA,0.00,125,E 23RD ST,,NEW YORK,NY,10010,11208
WESTERN BEEF INC.,Supermarket - 819,Exchange Goods/Contract Cancelled - E01,04/17/2015,05/01/2015,Cash Amount - AMT,Yes,20.00,4705,METROPOLITAN AVE,,RIDGEWOOD,NY,11385,10310
DAROMA RESTAURANT EQUIPMENT CORP.,Misc Non-Food Retail - 817,Defective Goods - D02,05/01/2015,05/12/2015,Advised to Sue - ATS,No,0.00,180,BOWERY,,NEW YORK,NY,10012,10029
ICON PARKING SYSTEMS,Garage - 049,Surcharge/Overcharge - S02,10/02/2015,11/06/2015,Bill Reduced - BLR,Yes,127.00,185,W END AVE,,NEW YORK,NY,10023,10024
LUGO HAIR CENTER INC.,Other,,03/16/2015,04/10/2015,Unable to Locate Business - ULV,NA,0.00,20,SNYDER AVE,,BROOKLYN,NY,11226,33647
J F MOTORS LLC,Secondhand Dealer Auto - 005,,04/28/2015,05/18/2015,No Satisfactory Agreement - NSA,No,0.00,4309,NORTHERN BLVD,,LONG ISLAND CIT,NY,11101,11206
"TIP TOP ALUMINUM PRODUCTS, INC.",Home Improvement Contractor - 100,,01/12/2015,04/03/2015,Goods Repaired - GRS,Yes,0.00,1570,62ND ST,,BROOKLYN,NY,11219,11204
FIVE J'S AUTOMOTIVE LTD.,Tow Truck Company - 124,Unauthorized tow,12/16/2014,01/07/2015,Referred to Hearing - RTH,No,0.00,809,ZEREGA AVE,,BRONX,NY,10473,10473
BEAUTIFUL SKIN BEAUTY,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,01/05/2016,01/28/2016,Cash Amount - AMT,Yes,150.00,18,MOTT ST,202,NEW YORK,NY,10013,10029
PROOF CONTRACTING INC,Home Improvement Contractor - 100,Breach of Contract - B03,03/02/2016,04/11/2016,Referred to Hearing - RTH,No,0.00,1774,81ST ST,,BROOKLYN,NY,11214,11204
THE COURT JEWELER,Jewelry Store-Retail - 823,Surcharge/Overcharge - S02,10/16/2015,11/06/2015,No Satisfactory Agreement - NSA,No,0.00,60,COURT ST,,BROOKLYN,NY,11201,11201
SAGA GENERAL CONSTRUCTION,Home Improvement Contractor - 100,Damaged Goods - D01,09/15/2015,09/23/2015,Goods Repaired - GRS,Yes,4600.00,2705,COLDEN AVE,,BRONX,NY,10469,10466
MC DONALD'S,Restaurant - 818,Advertising/General - A01,03/31/2016,04/06/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,15901,JAMAICA AVE,,JAMAICA,NY,11432,11432
"TRANSILVANIA CONSTRUCTION, INC.",Home Improvement Contractor - 100,Quality of Work - Q01,05/28/2015,07/10/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,7345,52ND CT,FL 1,MASPETH,NY,11378,11228
RDM HOME IMPROVEMENT CONTRACTOR INC,Home Improvement Contractor - 100,Non-Delivery of Service - N02,10/02/2015,11/19/2015,Advised to Sue - ATS,No,0.00,9448,111TH ST,,S RICHMOND HL,NY,11419,11420
EYE DEAL OPTICAL,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,02/05/2015,03/09/2015,No Satisfactory Agreement - NSA,No,0.00,2136,BARTOW AVE,,BRONX,NY,10475,10466
RENAISSANCE OF V.I. HOME CORP.,Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,03/24/2015,05/14/2015,Advised to Sue - ATS,No,0.00,2686,OCEAN AVE,APT E5,BROOKLYN,NY,11229,11224
U.S.A. RESOURCE SOLUTIONS,Employment Agency - 034,Non-Delivery of Service - N02,12/31/2015,01/25/2016,Unable to Locate Business - ULV,NA,0.00,31,E 32ND ST,,NEW YORK,NY,10016,11372
PURSONIC,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,09/16/2015,10/01/2015,Referred to Outside - RTO,NA,0.00,160,W 28TH ST,,NEW YORK,NY,10001,22315
NY CAMERA & ELECTRONICS CORP.,Electronic Store - 001,Surcharge/Overcharge - S02,08/06/2015,09/18/2015,Advised to Sue - ATS,No,0.00,494,8TH AVE,,NEW YORK,NY,10001,95628
"BEST BUY STORES, L.P.",Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,10/09/2015,10/16/2015,Consumer Withdrew Complaint - CWC,NA,0.00,7601,PENN AVE S,,MINNEAPOLIS,MN,55423,11364
"TIKVATRONICS, LTD.",Electronic Store - 001,Surcharge/Overcharge - S02,02/09/2016,02/09/2016,Credit Card Refund and/or Contract Cancelled - CRC,Yes,4000.00,16404,JAMAICA AVE,,JAMAICA,NY,11432,11413
ENTOURAGE FURNITURE,Furniture Sales - 242,Damaged Goods - D01,03/30/2016,04/18/2016,Advised to Sue - ATS,No,0.00,490,W 207TH ST,,NEW YORK,NY,10034,10462
HIGHLINE CARS SHOW CORP,Secondhand Dealer Auto - 005,Misrepresentation - M01,10/28/2015,11/25/2015,Out of Business - OOB,NA,0.00,241,HEMPSTEAD TPKE,,W HEMPSTEAD,NY,11552,11003
EMPIRE STAFFING SERVICES,Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,11/10/2015,12/10/2015,Unable to Locate Business - ULV,NA,0.00,391,E 149TH ST,2,BRONX,NY,10455,10451
HUFFMAN KOOS FURNITURE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,06/23/2015,09/02/2015,Store Credit - SCR,Yes,250.00,8646,QUEENS BLVD,,ELMHURST,NY,11373,11418
ZARA USA,Retail Store - 820,,12/17/2014,02/10/2015,Cash Amount - AMT,Yes,80.00,500,5TH AVE,400,NEW YORK,NY,10110,07030
"MetroPCS New York, LLC",Electronic Store - 001,Misrepresentation - M01,03/05/2015,03/19/2015,Goods Exchanged - GEX,Yes,165.00,2711,CENTERVILLE RD,,WILMINGTON,DE,19808,11218
"HAMILTON AVENUE AUTO SALES, INC.",Secondhand Dealer Auto - 005,Damaged Goods - D01,08/11/2015,09/10/2015,Consumer Took Action - CTA,No,0.00,39,16TH ST,,BROOKLYN,NY,11215,11236
APPLIANCESCONNECTION.COM,Mailorder Misc - 319,Damaged Goods - D01,11/06/2015,11/16/2015,Consumer Took Action - CTA,No,0.00,1100,CONEY ISLAND AVE,13,BROOKLYN,NY,11230,38138
,Home Improvement Contractor - 100,Quality of Work - Q01,04/20/2015,06/11/2015,Goods Repaired - GRS,Yes,5000.00,,,,,,,10312
SLEEPY'S  LLC,Furniture Sales - 242,Defective Goods - D02,01/07/2016,01/19/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,1000,S OYSTER BAY RD,,HICKSVILLE,NY,11801,11236
"NATIONAL ENTERPRISE SYSTEMS, INC.",Debt Collection Agency - 122,Billing Dispute - B02,01/14/2015,02/03/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,29125,SOLON RD,,SOLON,OH,44139,10025
NY SKYRIDE,Sightseeing Bus - 078,Advertising/General - A01,07/21/2015,07/27/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,156.00,350,5TH AVE,,NEW YORK,NY,10118,10065
XHAL CONSTRUCTION INC,Home Improvement Contractor - 100,Quality of Work - Q01,11/24/2014,01/09/2015,Unable to Locate Consumer - ULC,NA,0.00,8716,86TH ST,,WOODHAVEN,NY,11421,10472
"METRO CEMENT, INC.",Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,10/20/2015,11/13/2015,Goods Repaired - GRS,Yes,800.00,1421,WAGNER ST,,WANTAGH,NY,11793,11417
"PROFESSIONAL CLAIMS BUREAU, INC.",Debt Collection Agency - 122,Billing Dispute - B02,06/25/2015,08/03/2015,Bill Reduced - BLR,Yes,348.00,439,OAK ST,,GARDEN CITY,NY,11530,11372
RED APPLE WIRELESS CORP.,Electronic & Home Appliance Service Dealer - 115,Advertising/Misleading - A02,07/10/2015,08/17/2015,No Business Response - NVR,No,0.00,2395,GRAND CONCOURSE,,BRONX,NY,10468,10468
CAPITAL CAR PARK LLC,Garage - 049,Damaged Goods - D01,12/02/2014,01/29/2015,Advised to Sue - ATS,No,0.00,127,W 24TH ST,FL 5,NEW YORK,NY,10011,11691
"MIDLAND CREDIT MANAGEMENT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,10/13/2015,10/28/2015,Bill Reduced - BLR,Yes,9285.00,3111,CAMINO DEL RIO N,1300,SAN DIEGO,CA,92108,10312
,Home Improvement Contractor - 100,Non-Delivery of Service - N02,12/12/2014,02/13/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,11369
BEST KEPT SECRET AIRPORT PARKING,Garage - 049,Damaged Goods - D01,02/16/2016,03/31/2016,Cash Amount - AMT,Yes,624.00,14707,GUY R BREWER BLVD,,JAMAICA,NY,11434,06511
"AMSHER COLLECTION SERVICES, INC.",Debt Collection Agency - 122,Billing Dispute - B02,12/01/2014,01/16/2015,Bill Reduced - BLR,Yes,96.00,4524,SOUTHLAKE PKWY,15,HOOVER,AL,35244,10025
HIGH SPEED MOTORS INC.,Secondhand Dealer Auto - 005,Damaged Goods - D01,01/05/2016,01/15/2016,No Satisfactory Preempted - NSP,NA,0.00,,,,,,,10590
"SUPER PRO CONTRACTING, INC.",Home Improvement Contractor - 100,,06/10/2015,06/25/2015,Cash Amount - AMT,Yes,250.00,96,CARSTAIRS RD,,VALLEY STREAM,NY,11581,11414
"NORTH SHORE AGENCY, LLC",Debt Collection Agency - 122,Misrepresentation - M01,01/08/2015,01/09/2015,Bill Reduced - BLR,Yes,442.00,270,SPAGNOLI RD,STE 110,MELVILLE,NY,11747,11375
,Furniture Sales - 242,Refund Policy - R01,12/29/2015,01/29/2016,Consumer Took Action - CTA,No,0.00,,,,,,,11418
"BOB'S DISCOUNT FURNITURE, LLC",Furniture Sales - 242,Damaged Goods - D01,09/10/2015,09/22/2015,Cash Amount - AMT,Yes,170.00,428,TOLLAND TPKE,,MANCHESTER,CT,06042,11354
SLEEPY'S  LLC,Furniture Sales - 242,Defective Goods - D02,12/24/2014,01/12/2015,Advised to Sue - ATS,No,0.00,1000,S OYSTER BAY RD,,HICKSVILLE,NY,11801,11434
FIRST STAR TOWING INC.,Tow Truck Company - 124,Billing Dispute - B02,09/01/2015,11/06/2015,No Consumer Response - NCR,NA,0.00,PO,E TREMONT AVE,,BRONX,NY,10474,10034
UNIQUE CONSTRUCTION F.N. INC.,Home Improvement Contractor - 100,Quality of Work - Q01,08/25/2015,11/12/2015,Referred to Hearing - RTH,No,0.00,1348,43RD ST,,BROOKLYN,NY,11219,
PALLADIUM,Misc Non-Food Retail - 817,Misrepresentation - M01,11/04/2015,11/20/2015,Unable to Locate Business - ULV,NA,0.00,3614,31ST ST,,ASTORIA,NY,11106,11103
"ENCARNACION, DANILSA",Home Improvement Contractor - 100,Quality of Work - Q01,02/03/2015,05/01/2015,Referred to Hearing - RTH,No,0.00,3054,79TH ST,3,EAST ELMHURST,NY,11370,11203
LIBERTY TRAVEL,Travel Agency - 440,Surcharge/Overcharge - S02,07/20/2015,09/09/2015,No Satisfactory Agreement - NSA,No,0.00,107-15,71ST RD,,FOREST HILLS,NY,11375,11577
"PORTFOLIO RECOVERY ASSOCIATES, L.L.C.",Debt Collection Agency - 122,Billing Dispute - B02,05/27/2015,06/17/2015,Bill Reduced - BLR,Yes,1202.00,140,CORPORATE BLVD,,NORFOLK,VA,23502,10475
NOBLE PARKING LLC,Garage - 049,Surcharge/Overcharge - S02,06/26/2015,08/21/2015,Cash Amount - AMT,Yes,24.00,205,E 38TH ST,,NEW YORK,NY,10016,07059
"QUEENS AUTO SALES, INC.",Secondhand Dealer Auto - 005,Surcharge/Overcharge - S02,11/13/2015,12/14/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,7438,QUEENS BLVD,,ELMHURST,NY,11373,10032
A&C CHIMNEY CORP.,Home Improvement Contractor - 100,Quality of Work - Q01,03/15/2016,04/27/2016,Advised to Sue - ATS,No,0.00,9440,210TH ST,APT 4D,QUEENS VLG,NY,11428,11432
FLAGSTONE LANDSCAPE & GARDEN SUPPLY,Misc Non-Food Retail - 817,Non-Delivery of Service - N02,11/26/2014,01/30/2015,No Business Response - NVR,No,0.00,85,EDWARD CURRY AVE,,STATEN ISLAND,NY,10314,10302
KINGS AUTOSHOW INC.,Secondhand Dealer Auto - 005,Surcharge/Overcharge - S02,07/02/2015,08/25/2015,No Satisfactory Agreement - NSA,No,0.00,5815,CHURCH AVE,,BROOKLYN,NY,11203,12189
NEW YORK SMSA LIMITED PARTNERSHIP,Retail Store - 820,,04/13/2015,04/29/2015,Bill Reduced - BLR,Yes,350.00,20,INDEPENDENCE BLVD,,WARREN,NJ,07059,10003
JIMMY TIRES,Misc Non-Food Retail - 817,Wrong Goods - W01,09/08/2015,10/06/2015,Complaint Invalid - CIN,NA,0.00,313,46TH ST,,BROOKLYN,NY,11220,10314
ACC DISTRIBUTION,Mailorder Misc - 319,Billing Dispute - B02,12/16/2015,01/05/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,6,W 18TH ST,4B,NEW YORK,NY,10011,07093
INFINITY BUILDERS & REMODELING INC,Home Improvement Contractor - 100,Non-Delivery of Service - N02,10/05/2015,12/04/2015,Referred to Hearing - RTH,No,0.00,1354,PURDY ST,,BRONX,NY,10462,11419
BEST STOP FURNITURE,Furniture Sales - 242,Damaged Goods - D01,03/25/2015,05/12/2015,Advised to Sue - ATS,No,0.00,2376,GRAND CONCOURSE,,BRONX,NY,10458,10453
e-wonderful cleaner,Dry Cleaners - 230,Non-Delivery of Service - N02,07/02/2015,08/12/2015,Goods Received - GDR,Yes,0.00,343,E 66TH ST,,NEW YORK,NY,10065,10065
HOMELINE FURNITURE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,03/02/2016,04/08/2016,Advised to Sue - ATS,No,0.00,1285,BEACH AVE,,BRONX,NY,10472,10462
CUSUMANO CONTRACTING,Home Improvement Contractor - 100,Quality of Work - Q01,07/01/2015,09/15/2015,Referred to Hearing - RTH,No,0.00,105,PUTNAM BLVD,,ATLANTIC BEACH,NY,11509,11691
"EXPEDIA, INC.",Travel Agency - 440,Refund Policy - R01,09/29/2015,10/13/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,1874.00,333,108TH AVE NE,,BELLEVUE,WA,98004,10003
BOGRAD HALL,Other,Breach of Contract - B03,08/14/2015,09/08/2015,Cash Amount - AMT,Yes,850.00,1332,FULTON AVE,,BRONX,NY,10456,10456
IRON EAGLE SERVICES LLC,Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,04/14/2015,06/08/2015,Unable to Locate Business - ULV,NA,0.00,125,E 23RD ST,602,NEW YORK,NY,10010,11230
"TIKVATRONICS, LTD.",Electronic Store - 001,Surcharge/Overcharge - S02,03/01/2016,04/26/2016,Consumer Took Action - CTA,No,0.00,16404,JAMAICA AVE,,JAMAICA,NY,11432,11432
Barthel & Sons Painting,Home Improvement Contractor - 100,Quality of Work - Q01,12/16/2015,01/04/2016,Advised to Sue - ATS,No,0.00,,,,Fresh Meadows,NY,11365,11354
PENGUIN GROUP,Mailorder Misc - 319,Non-Delivery of Goods - N01,06/22/2015,07/10/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,375,HUDSON ST,,NEW YORK,NY,10014,48846
MAYORS AUTO GROUP WOODSIDE LLC,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,02/16/2016,02/25/2016,Cash Amount - AMT,Yes,800.00,5615,NORTHERN BLVD,,WOODSIDE,NY,11377,11375
CONAIR CORP.,Misc Non-Food Retail - 817,Misrepresentation - M01,03/23/2015,04/09/2015,Cash Amount - AMT,Yes,30.00,111,8TH AVE,,NEW YORK,NY,10011,
BOWERY ELECTRONICS CENTER INC.,Appliances - 244,Defective Goods - D02,05/19/2015,06/09/2015,No Satisfactory Agreement - NSA,No,0.00,133,BOWERY,,NEW YORK,NY,10002,11233
"OCEAN CAR PARK, LLC",Garage - 049,Misrepresentation - M01,02/12/2015,04/24/2015,Complaint Invalid - CIN,NA,0.00,1651,3RD AVE,STE 207,NEW YORK,NY,10128,11354
SHISHI INC,Misc Non-Food Retail - 817,Misrepresentation - M01,05/13/2015,07/13/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,107.00,2488,BROADWAY,,NEW YORK,NY,10025,10024
STAT COLLECTIONS INC,Debt Collection Agency - 122,,03/23/2015,04/09/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,141,N SHERRIN AVE,,ST MATTHEWS,KY,40207,11214
EXPO MOTORS INC.,Secondhand Dealer Auto - 005,,11/24/2014,01/16/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,9135,183RD ST,,HOLLIS,NY,11423,11216
THE PARKING PLACE JFK,Garage - 049,Damaged Goods - D01,06/25/2015,08/25/2015,No Business Response - NVR,No,0.00,12001,SUTPHIN BLVD,,JAMAICA,NY,11434,07069
BPS CONSTRUCTION & HOME IMPROVEMENT INC.,Home Improvement Contractor - 100,Quality of Work - Q01,08/27/2015,09/04/2015,Consumer Took Action - CTA,No,0.00,11115,LIBERTY AVE,,SOUTH RICHMOND HILL,NY,11419,11417
LUO XING TA,Restaurant - 818,Surcharge/Overcharge - S02,07/08/2015,08/06/2015,Cash Amount - AMT,Yes,20.00,5318,8TH AVE,,BROOKLYN,NY,11220,
"PROFESSIONAL CLAIMS BUREAU, INC.",Debt Collection Agency - 122,Billing Dispute - B02,09/23/2015,10/01/2015,Bill Reduced - BLR,Yes,644.00,439,OAK ST,,GARDEN CITY,NY,11530,11412
SALVATORE VALENZA CONTRACTORS INC.,Home Improvement Contractor - 100,Breach of Contract - B03,09/16/2015,10/29/2015,Referred to Hearing - RTH,No,0.00,1240,CLINTONVILLE ST,LEVEL,WHITESTONE,NY,11357,11367
"CREDENCE RESOURCE MANAGEMENT, LLC",Debt Collection Agency - 122,Billing Dispute - B02,02/18/2016,03/21/2016,Bill Reduced - BLR,Yes,158.00,70,MANSELL CT,250,ROSWELL,GA,30076,10468
